language_id,anime_id,language_name
91,137,English
91,138,English
91,141,English
91,142,English
91,143,English
91,144,English
91,145,English
91,148,English
91,149,English
91,150,English
91,151,English
91,153,English
91,155,English
91,156,English
91,158,English
91,159,English
91,165,English
91,166,English
91,170,English
91,172,English
91,176,English
91,177,English
91,179,English
91,180,English
91,185,English
91,186,English
91,189,English
91,190,English
91,191,English
91,192,English
91,194,English
91,196,English
91,198,English
91,201,English
91,202,English
91,203,English
91,204,English
91,206,English
91,208,English
91,209,English
91,213,English
91,214,English
91,216,English
91,220,English
91,221,English
91,223,English
91,225,English
91,227,English
91,230,English
91,235,English
91,237,English
91,238,English
91,241,English
91,243,English
91,244,English
91,247,English
91,248,English
91,249,English
91,252,English
91,254,English
91,258,English
91,261,English
91,264,English
91,265,English
91,266,English
91,268,English
91,270,English
91,273,English
91,274,English
91,275,English
91,276,English
91,277,English
91,280,English
91,284,English
91,285,English
91,286,English
91,287,English
91,288,English
91,289,English
91,291,English
91,294,English
91,295,English
91,296,English
91,300,English
91,301,English
91,302,English
91,306,English
91,307,English
91,309,English
91,310,English
91,311,English
91,317,English
91,318,English
91,320,English
91,321,English
91,322,English
91,323,English
91,326,English
91,327,English
91,329,English
91,330,English
91,331,English
91,332,English
91,336,English
91,341,English
91,342,English
91,343,English
91,344,English
91,345,English
91,348,English
91,349,English
91,351,English
91,352,English
91,353,English
91,354,English
91,356,English
91,359,English
91,360,English
91,361,English
91,362,English
91,365,English
91,367,English
91,368,English
91,371,English
91,374,English
91,377,English
91,380,English
91,381,English
91,382,English
91,385,English
91,388,English
91,389,English
91,392,English
91,393,English
91,394,English
91,395,English
91,399,English
91,402,English
91,403,English
91,405,English
91,406,English
91,411,English
91,413,English
91,414,English
91,418,English
91,419,English
91,422,English
91,424,English
91,426,English
91,427,English
91,430,English
91,432,English
91,433,English
91,434,English
91,435,English
91,436,English
91,437,English
91,438,English
91,439,English
91,442,English
91,443,English
91,444,English
91,446,English
91,448,English
91,449,English
94,137,French
94,150,French
94,160,French
94,176,French
94,192,French
94,199,French
94,201,French
94,203,French
94,208,French
94,216,French
94,221,French
94,238,French
94,247,French
94,258,French
94,261,French
94,264,French
94,273,French
94,276,French
94,279,French
94,280,French
94,296,French
94,300,French
94,309,French
94,315,French
94,317,French
94,318,French
94,321,French
94,323,French
94,327,French
94,330,French
94,331,French
94,362,French
94,365,French
94,370,French
94,393,French
94,405,French
94,414,French
94,425,French
94,430,French
94,442,French
94,444,French
94,445,French
92,137,German
92,150,German
92,176,German
92,185,German
92,199,German
92,203,German
92,208,German
92,221,German
92,226,German
92,261,German
92,276,German
92,279,German
92,296,German
92,300,German
92,315,German
92,317,German
92,318,German
92,323,German
92,330,German
92,331,German
92,362,German
92,365,German
92,370,German
92,414,German
92,430,German
92,441,German
92,442,German
92,444,German
92,445,German
90,134,Japanese
90,135,Japanese
90,136,Japanese
90,137,Japanese
90,138,Japanese
90,141,Japanese
90,142,Japanese
90,143,Japanese
90,144,Japanese
90,145,Japanese
90,146,Japanese
90,147,Japanese
90,148,Japanese
90,149,Japanese
90,150,Japanese
90,151,Japanese
90,152,Japanese
90,153,Japanese
90,154,Japanese
90,155,Japanese
90,156,Japanese
90,157,Japanese
90,158,Japanese
90,159,Japanese
90,160,Japanese
90,161,Japanese
90,162,Japanese
90,163,Japanese
90,164,Japanese
90,165,Japanese
90,166,Japanese
90,167,Japanese
90,168,Japanese
90,169,Japanese
90,170,Japanese
90,171,Japanese
90,172,Japanese
90,173,Japanese
90,174,Japanese
90,175,Japanese
90,176,Japanese
90,177,Japanese
90,178,Japanese
90,179,Japanese
90,180,Japanese
90,181,Japanese
90,182,Japanese
90,183,Japanese
90,184,Japanese
90,185,Japanese
90,186,Japanese
90,187,Japanese
90,188,Japanese
90,189,Japanese
90,190,Japanese
90,191,Japanese
90,192,Japanese
90,193,Japanese
90,194,Japanese
90,195,Japanese
90,196,Japanese
90,197,Japanese
90,198,Japanese
90,199,Japanese
90,200,Japanese
90,201,Japanese
90,202,Japanese
90,203,Japanese
90,204,Japanese
90,205,Japanese
90,206,Japanese
90,208,Japanese
90,209,Japanese
90,210,Japanese
90,211,Japanese
90,212,Japanese
90,213,Japanese
90,214,Japanese
90,215,Japanese
90,216,Japanese
90,217,Japanese
90,219,Japanese
90,220,Japanese
90,221,Japanese
90,222,Japanese
90,223,Japanese
90,224,Japanese
90,225,Japanese
90,226,Japanese
90,227,Japanese
90,228,Japanese
90,229,Japanese
90,230,Japanese
90,231,Japanese
90,232,Japanese
90,233,Japanese
90,234,Japanese
90,235,Japanese
90,236,Japanese
90,237,Japanese
90,238,Japanese
90,239,Japanese
90,241,Japanese
90,242,Japanese
90,243,Japanese
90,244,Japanese
90,245,Japanese
90,246,Japanese
90,247,Japanese
90,248,Japanese
90,249,Japanese
90,250,Japanese
90,251,Japanese
90,252,Japanese
90,253,Japanese
90,254,Japanese
90,255,Japanese
90,256,Japanese
90,257,Japanese
90,258,Japanese
90,259,Japanese
90,260,Japanese
90,261,Japanese
90,262,Japanese
90,264,Japanese
90,265,Japanese
90,266,Japanese
90,267,Japanese
90,268,Japanese
90,270,Japanese
90,271,Japanese
90,272,Japanese
90,273,Japanese
90,274,Japanese
90,275,Japanese
90,276,Japanese
90,277,Japanese
90,278,Japanese
90,279,Japanese
90,280,Japanese
90,282,Japanese
90,283,Japanese
90,284,Japanese
90,285,Japanese
90,286,Japanese
90,287,Japanese
90,288,Japanese
90,289,Japanese
90,290,Japanese
90,291,Japanese
90,292,Japanese
90,293,Japanese
90,294,Japanese
90,295,Japanese
90,296,Japanese
90,297,Japanese
90,300,Japanese
90,301,Japanese
90,302,Japanese
90,303,Japanese
90,304,Japanese
90,305,Japanese
90,306,Japanese
90,307,Japanese
90,308,Japanese
90,309,Japanese
90,310,Japanese
90,311,Japanese
90,314,Japanese
90,315,Japanese
90,317,Japanese
90,318,Japanese
90,320,Japanese
90,321,Japanese
90,322,Japanese
90,323,Japanese
90,324,Japanese
90,325,Japanese
90,326,Japanese
90,327,Japanese
90,329,Japanese
90,330,Japanese
90,331,Japanese
90,332,Japanese
