anime_id,person_id
135,936
209,936
226,936
237,936
327,936
340,936
347,936
392,936
440,936
262,944
143,964
138,982
324,982
436,982
187,984
414,984
142,1103
150,1103
219,1113
148,1118
297,1121
252,1165
415,1165
144,1169
406,1176
145,1178
166,1178
146,1186
287,1189
166,1190
147,1202
264,1206
355,1210
149,1252
383,1252
388,1252
353,1258
443,1258
216,1342
151,1363
167,1363
152,1442
303,1442
286,1453
154,1457
191,1457
370,1457
155,1469
156,1473
157,1480
159,1489
160,1494
162,1510
234,1510
272,1510
332,1510
274,1527
182,1528
317,1528
403,1528
165,1549
174,1549
210,1572
382,1572
180,1589
244,1589
354,1589
389,1589
426,1589
427,1589
314,1600
168,1606
407,1606
169,1621
170,1626
448,1626
170,1627
309,1627
170,1628
170,1629
260,1630
359,1630
278,1654
171,1677
171,1678
295,1678
171,1679
172,1688
220,1718
177,1739
179,1746
181,1856
443,1856
181,1857
252,1857
183,1886
188,1905
215,1905
264,1905
185,1908
185,1909
344,1916
378,1917
186,1920
189,1993
216,1993
438,1993
192,2047
339,2049
194,2067
196,2094
206,2094
294,2094
264,2096
371,2104
197,2107
302,2107
338,2107
198,2114
224,2114
208,2120
216,2120
199,2131
202,2194
203,2201
446,2201
204,2241
205,2267
434,2300
356,2363
286,2375
216,2411
216,2412
216,2413
216,2414
380,2414
219,2435
223,2471
300,2475
368,2475
435,2486
227,2505
227,2506
362,2542
383,2542
229,2546
233,2576
241,2576
267,2576
292,2576
235,2589
255,2599
288,2604
418,2604
238,2617
241,2625
444,2625
242,2632
320,2672
245,2679
246,2683
247,2695
247,2696
335,2697
372,2697
249,2728
297,2735
363,2756
252,2775
430,2792
398,2793
258,2802
345,2819
423,2831
265,2889
290,2889
266,2897
271,2928
273,2938
275,2948
277,2998
384,2998
280,3032
419,3032
284,3067
291,3069
330,3069
285,3075
286,3097
433,3131
289,3155
343,3155
375,3155
360,3210
301,3394
306,3413
315,3494
318,3521
334,3537
323,3542
410,3606
336,3641
442,3641
417,3645
341,3688
346,3713
348,3724
349,3733
361,3846
365,3878
370,3917
412,3925
372,3948
381,4006
381,4007
383,4021
386,4040
389,4044
393,4091
395,4102
408,4179
411,4190
422,4252
426,4292
428,4311
429,4313
431,4320
432,4324
439,4359
441,4368
445,4411
