genre_id,anime_id,genre_name
184,136,Action
184,141,Action
184,145,Action
184,146,Action
184,149,Action
184,151,Action
184,152,Action
184,157,Action
184,159,Action
184,160,Action
184,167,Action
184,170,Action
184,178,Action
184,183,Action
184,184,Action
184,189,Action
184,195,Action
184,202,Action
184,204,Action
184,206,Action
184,208,Action
184,210,Action
184,213,Action
184,216,Action
184,224,Action
184,225,Action
184,226,Action
184,227,Action
184,228,Action
184,229,Action
184,238,Action
184,243,Action
184,247,Action
184,248,Action
184,249,Action
184,251,Action
184,254,Action
184,256,Action
184,258,Action
184,259,Action
184,265,Action
184,267,Action
184,274,Action
184,278,Action
184,279,Action
184,285,Action
184,288,Action
184,290,Action
184,292,Action
184,294,Action
184,295,Action
184,296,Action
184,301,Action
184,305,Action
184,309,Action
184,311,Action
184,321,Action
184,327,Action
184,330,Action
184,332,Action
184,334,Action
184,339,Action
184,340,Action
184,342,Action
184,345,Action
184,348,Action
184,351,Action
184,359,Action
184,362,Action
184,367,Action
184,371,Action
184,375,Action
184,381,Action
184,383,Action
184,385,Action
184,386,Action
184,405,Action
184,415,Action
184,430,Action
184,432,Action
184,434,Action
184,435,Action
184,438,Action
184,440,Action
184,442,Action
184,444,Action
184,447,Action
184,448,Action
184,449,Action
190,148,Adventure
190,149,Adventure
190,151,Adventure
190,153,Adventure
190,154,Adventure
190,157,Adventure
190,160,Adventure
190,161,Adventure
190,166,Adventure
190,176,Adventure
190,181,Adventure
190,185,Adventure
190,195,Adventure
190,197,Adventure
190,210,Adventure
190,213,Adventure
190,214,Adventure
190,215,Adventure
190,220,Adventure
190,221,Adventure
190,224,Adventure
190,226,Adventure
190,229,Adventure
190,243,Adventure
190,246,Adventure
190,247,Adventure
190,248,Adventure
190,252,Adventure
190,258,Adventure
190,259,Adventure
190,264,Adventure
190,265,Adventure
190,279,Adventure
190,285,Adventure
190,288,Adventure
190,290,Adventure
190,296,Adventure
190,301,Adventure
190,303,Adventure
190,308,Adventure
190,311,Adventure
190,327,Adventure
190,330,Adventure
190,331,Adventure
190,334,Adventure
190,335,Adventure
190,339,Adventure
190,340,Adventure
190,344,Adventure
190,346,Adventure
190,347,Adventure
190,351,Adventure
190,353,Adventure
190,354,Adventure
190,362,Adventure
190,370,Adventure
190,380,Adventure
190,386,Adventure
190,393,Adventure
190,398,Adventure
190,406,Adventure
190,414,Adventure
190,424,Adventure
190,429,Adventure
190,433,Adventure
190,434,Adventure
190,435,Adventure
190,443,Adventure
190,445,Adventure
190,448,Adventure
201,333,"Avant Garde"
201,430,"Avant Garde"
201,446,"Avant Garde"
191,150,"Award Winning"
191,186,"Award Winning"
191,198,"Award Winning"
191,203,"Award Winning"
191,239,"Award Winning"
191,288,"Award Winning"
191,306,"Award Winning"
191,365,"Award Winning"
191,406,"Award Winning"
196,177,"Boys Love"
196,202,"Boys Love"
196,233,"Boys Love"
196,241,"Boys Love"
196,358,"Boys Love"
196,360,"Boys Love"
182,134,Comedy
182,136,Comedy
182,137,Comedy
182,142,Comedy
182,143,Comedy
182,144,Comedy
182,148,Comedy
182,150,Comedy
182,155,Comedy
